id,bldgsqft,kivapin
288943,1635.1,100064
181210,2147.4,100067
148933,3312.1,100068
214959,1868.6,100072
7418,1584.5,100073
87401,2516.6,100075
141587,1429.5,100081
148932,1666.3,100083
141494,4217.3,39085
236987,606,68367
179845,2348.7,244989
178314,2789,225571
223735,2726.5,225577
200125,2021.5,225584
150834,2019.3,225585
257278,2621,225812
284356,2459.6,225815
83750,2299.2,225817
108627,2474.6,225820
43251,2581.2,225821
188268,5947.1,226742
209002,2483.3,225818
110694,2208.8,100080
30209,1728.7,100082
24609,1548.9,100084
276301,3011.8,225560
96566,2841.7,225566
110638,2246.4,225570
156210,2494,225581
83728,2706.1,225583
143445,1673.8,225660
43172,2074.2,225666
68412,3235.7,225672
228284,1792.2,225682
75120,2326.1,225684
188336,2141,225685
150892,2359.5,225687
276383,2703.9,225689
276978,2397.1,225690
96577,2613.5,225691
52236,2709.3,225693
282191,2632.9,225695
133733,3448.8,225696
133740,2902,225698
185897,2852.5,225700
164849,2554.3,225701
63420,2074.2,100093
282495,1488.7,100095
268637,2133.4,100096
174592,1414.4,100098
154561,1519.9,10010
277622,2650.1,100101
141580,1499.4,100104
120357,2036.5,100106
178897,1945.1,100108
84116,1693.2,100111
79202,1811.6,100112
37053,1410.1,100114
257738,1812.7,100115
43064,1660.9,100116
190002,2131.3,100120
37099,1740.5,100121
112987,1603.8,100123
32690,2179.7,225664
237471,2052.7,225680
266397,2748,225686
17575,2454.2,225688
271429,2851.4,225779
24405,2165.7,225782
26801,2614.6,225785
56591,2477.9,225787
263640,2291.7,225790
200167,2286.3,225793
93994,2307.8,225795
87400,2536,225801
52276,2349.8,225804
186024,2391.8,225809
24724,1667.3,102486
2033,2626.4,232833
75273,2763.1,232834
207036,3068.8,232835
279807,2312.1,232836
160,2407.9,232837
41989,2857.8,232839
266506,3779.2,232847
41987,2475.7,232848
288558,2015,232850
85544,2000,232851
288557,2182.9,232853
188735,4728.6,148439
244070,2642.6,148431
63246,1314.3,148446
266640,1932.1,148446
27007,20609.8,148444
7064,26953.1,242801
110598,2540.3,229136
43244,2350.9,229137
110877,803,100986
118380,1689.9,100986
154054,2340.1,100989
224063,2003.2,100992
275715,4349.7,224796
7479,2677,100996
171870,1626.4,100997
84814,969.8,10100
60746,1769.6,101002
48379,1812.7,101005
154002,1012.9,101005
7518,1797.6,101205
185572,1488.7,100686
133899,1734.1,100687
8033,1939.7,10069
13276,1713.6,100690
153704,2120.5,100693
75113,853.6,100694
266518,2335.8,100694
89049,1517.7,100699
246639,1040.9,100699
112461,1322.9,1007
288812,1933.2,100701
280058,1489.7,100703
45895,1489.7,100704
203216,1431.6,100705
276251,1522,100707
268337,1673.8,100708
138351,1547.9,100710
156180,1700.7,100747
131067,1629.7,100750
249320,1462.8,100754
210528,1222.8,100757
113720,1674.9,10076
131102,2363.8,225692
127389,2081.8,225694
200172,2717.9,225697
143454,2306.7,225699
24475,2485.4,225702
120450,2031.2,225703
116003,1621.1,100091
151541,1771.8,100092
96880,2199.1,100094
112993,1585.5,100097
219046,2590.9,100099
213522,1833.1,100100
203479,2273.4,100102
274080,1678.1,100103
251715,1574.8,100105
224515,2045.2,100107
277624,1762.1,100109
32523,1643.7,100110
203467,1931.1,100113
240091,1645.8,100117
262018,1420.8,10012
54039,4194.7,224795
195977,1823.4,217063
45673,1677,171602
96545,1247.5,171602
115706,361.7,171602
138371,5118.3,171602
276956,350.9,171602
116533,927.9,10003
110657,2356.2,100031
156228,1611.4,100034
213357,2344.4,100044
83753,1865.4,100047
130923,3222.7,100049
7419,8662.9,100052
150869,1612.4,100056
99522,3951.5,100057
200165,2550,100058
124031,1298.1,10006
237465,1761,100061
271553,3387.4,100063
85602,2233.5,100065
123703,1822.3,100066
112994,1898.8,100069
257745,3203.4,100070
249670,1864.3,100071
188400,1702.9,100074
3097,1642.6,10021
207048,3462.8,100030
68202,2277.7,100032
17597,1745.9,100033
13399,2204.5,100043
155561,2572.6,100045
65074,1819.1,100046
266430,1625.4,100048
183516,1810.5,100050
218514,2206.6,100051
96798,1782.5,100055
96791,1723.3,100059
246326,1457.4,100060
181086,1935.4,100062
75132,3228.1,225558
24463,3323.9,225559
113080,2719,225567
60420,2245.4,225568
210899,2917,225569
110938,1517.7,100187
171927,3080.7,100187
135570,2419.7,100202
283161,1280.9,1055
257316,1396.1,100168
276568,2212,100183
185498,1425.2,100210
68355,1552.2,100219
115795,991.4,100197
164998,54952.4,100211
26667,318.6,100214
276249,2520.9,100214
2248,2292.7,100216
45892,738.4,100216
96408,3124.8,100216
123097,3007.5,100216
195386,1576.9,100216
203210,1062.4,100216
243989,425.2,100216
110496,1883.7,100122
252563,1754.5,100125
124030,1341.2,10013
13720,1517.7,100132
46605,1245.4,10014
68187,1983.8,100145
279762,3068.8,100146
43201,1051.6,100147
186033,640.5,100147
242608,825.6,100147
211848,983.8,10015
178633,2363.8,100151
123212,1851.4,100152
143480,846.1,100152
178628,1725.5,100152
56744,2983.8,225704
1943,2677,225705
218538,2383.1,225711
32671,2234.6,225714
284116,2166.8,225721
123043,2458.5,225722
127372,2289.5,225780
203345,2258.3,225781
232735,2621,225783
43200,2487.6,225784
167518,2576.9,225786
17651,2384.2,225788
263633,2540.3,225789
96801,2428.4,225791
48101,2325,225792
68204,2185.1,225794
201821,2362.7,225796
282205,1548.9,225797
203365,2296,225800
140346,973.1,105501
251916,2262.6,225802
257627,2370.2,225803
183514,2330.4,225805
279763,2356.2,225806
110656,2284.1,225808
169226,2386.4,225810
284130,2741.6,225811
282233,2401.4,225813
268652,2433.7,225814
209000,2409,225816
219050,1603.8,100124
168232,2401.4,100126
169227,2187.2,100148
48054,2449.9,225716
83721,1792.2,225720
163531,2201.2,245883
81950,2641.5,245884
151111,2318.6,100220
32601,2337.9,100222
249256,2714.7,100224
171618,1811.6,100227
228655,67178.1,122576
148874,3208.7,246349
48099,2599.5,100153
167511,189.4,100153
29911,1474.7,100159
288619,257.3,100159
35098,2254,10016
138396,1587.7,100160
284088,1524.2,100160
183309,850.4,100164
200048,571.6,100164
210136,1847.1,100164
288825,919.2,100164
37182,1139.9,100167
239757,1362.7,100167
251195,592,100167
204371,1405.8,10017
170471,1586.6,107575
183478,2287.4,100781
1932,1114.1,100782
89196,1428.4,100783
228432,1443.5,100785
143352,1299.2,100786
201582,1857.9,100788
